DR_ID	DR_N_2011	URBAN_AREA_FOOTPRINT	MACRO_AREA_FOOTPRINT	SHARE_UA_WITHIN_MA	MACRO_AREA_COMPACITY	AIR_FLOWS	BANKING	BICYCLE	BIG_HHLDS	CAR	CHILDREN	COAST_DIST	DENSITY	URB_DENS	EV_BANKING	EV_BICYCLE	EV_BIG_HHLDS	EV_CAR	EV_CHILDREN	EV_HOME_OWN	EV_HOME_OWN_SC	EV_LITERACY	EV_MALES_RATIO	EV_MOT_2W	EV_NO_ASSETS	EV_PHONE	EV_POPULATION	EV_RES_WELLF	EV_RES_WELLF_SC	EV_SEC_TER_FEM_WORKERS	EV_SEC_TER_WORKERS	EV_SMALL_HHLDS	HOME_OWN	HOME_OWN_SC	HW_DISTANCE	LITERACY	MALES_RATIO	METRO_DISTANCE	MOT_2W	NB_MAJOR_URB_AREAS	NB_URBAN_AREAS	NO_ASSETS	OUTLETS	PHONE	POPULATION	RAILWAY	RES_WELLF	RES_WELLF_SC	SEC_TER_FEM_WORKERS	SEC_TER_WORKERS	SEZ	SIZE_MAIN_MACRO_AREA	SMALL_HHLDS	UNIVERSITIES	POP_SC	EV_POP_SC
155	Dibang Valley	0	0	0	NA	0	51,1	2,46	26,83	5,13	13,54	811	0,7804973	9257,994236	22,18	1,23	-8,93	1,92	-3,08	3,2	NA	9,74	-0,3306	7,7	-21,29	46,81	10,07	5,74	NA	-0,76	4,84	3,28	69,91	NA	428	55,42	55,15	1030	15,13	0	0	34,05	0	43,61	8004	0	55,37	NA	18,16	60,73	0	0	34,37	0	0	0
156	Dibrugarh	3,84	10,13	74,54	28,23	231870	53,04	63,2	30,64	7,74	12,31	627	369,7616272	2179,157227	22,95	2,96	-7,83	3,54	-2,26	2,54	2,39	7,78	-0,7734	6,46	-9,2	43,98	11,92	7,03	10,99	-0,91	1,56	-0,33	71,56	75,36	262	66,69	51	861	16,36	0	10	17,64	8	51,25	1326335	8	73,12	70,96	17,98	64,96	0	4	10,29	1	4,44	0,39
157	Dima Hasao	0,94	0,18	11,57	61,5	0	51,31	6,15	36,75	3,09	15,14	332	42,1377678	1275,5625	17,88	1,3	-1,52	1,81	-1,24	7,01	11,86	9,25	-1,3225	2,49	-18,2	39,42	13,84	4,11	2,55	-0,67	-4,18	-4,25	79,37	53,93	12	65,8	51,75	569	5,43	0	5	39,25	0	44,04	214102	4	42,64	43,49	8,65	42,02	0	3	12,93	0	2,03	0,24
158	Dimapur	7,79	10,11	96	73,99	99000	55,39	24,53	32,7	13,04	13,44	411	443,5726013	3366,501221	32,34	-6,02	-9,63	7,33	-1,75	-5,38	NA	8,24	-1,8232	5,74	-26,2	67,08	22,84	13,53	NA	8,02	11,27	2,05	47,26	NA	62	73,4	52,11	658	14,1	0	3	9,58	5	78,27	378811	1	61,07	NA	19,65	77,86	340	3	15,15	0	0	0
159	Dindigul	1,58	25,59	85,19	5,26	0	47,93	39,57	13,09	2,76	10,03	148	355,0509644	16710,38672	30,21	5,37	-5,36	1,42	-1,36	-1,89	-1,99	7,16	-0,2961	14,41	-33,5	60,17	12,31	8,44	7,22	1,47	4,12	1,64	79,18	87,98	15	68,61	50,05	167	26,23	1	113	7,75	1	67,45	2159775	12	47,66	37,33	11,3	42,69	0	44	20,21	3	20,95	1,38
160	Dindori	0,04	0	0	NA	0	69,1	15,82	21,28	0,76	15,87	551	94,1625214	12750	57,83	3,36	-9,36	0,15	-0,92	1,4	0,7	8,68	-0,2822	1,86	-8,56	14,47	21,32	9,3	6,97	1,5	2,78	5,44	96,38	95,31	145	53,75	49,95	652	4,72	0	3	64,9	0	15,36	704524	0	42,44	43,43	4,2	12,54	0	0	21,64	0	5,65	-0,18
161	Diu	14,08	0	0	NA	99000	75,86	34,98	35,89	3,72	12,44	1	1735,800049	11207,5293	13,97	-10,9	-2,68	1,73	-4,65	-1,83	-4,72	13,9	2,0222	15,29	-13,2	60,06	17,77	2,81	14,47	-8,78	10,39	0,61	78,38	76,47	122	73,08	49,24	271	45,09	0	2	7,7	0	84,21	52074	0	60,66	54,17	11,92	95,16	0	0	18,02	0	3,58	-0,43
162	Doda	0,6	0	0	NA	0	77,48	0,72	37,57	2,29	17,38	1196	209,9006653	6428,813477	28,11	0,02	-8,4	1,39	-2,29	0,44	0,29	9,74	-0,1601	0,67	-21,29	57,52	28	4,82	4,1	-0,48	3,35	0,78	96,91	98,02	32	53,44	52,12	517	1,97	0	5	31,23	0	59,82	409936	0	41,85	38,39	6,24	45,93	0	0	10,51	0	13,03	0,36
163	Dohad	0,58	4,93	44,55	5,26	0	37,7	18,6	57,65	1,58	19,5	128	401,1855774	29744,94141	18,79	-3,2	-3,46	0,57	-0,91	1,97	6,72	11,41	-0,126	6,22	-23,2	42,01	29,98	2,45	1,29	-2,08	-0,06	0,22	96,79	89,55	106	47,35	50,24	440	12,29	0	64	44,75	0	46,12	2127086	9	16,85	21,96	3,42	17,21	0	2	6,6	0	1,95	-0,06
164	Dumka	0,34	0	0	NA	0	44,18	64,26	32,5	1,07	16,61	242	353,6103821	7564,263184	22,18	3,86	-8,29	0,68	-2,29	0,44	0,29	11,3	-0,2804	3,52	-10,79	28,18	19,42	5,74	5,78	0,62	2,23	2,21	97,91	97,51	74	50,88	50,59	227	8,45	0	4	26,5	0	27,6	1321442	0	39,37	33,49	4,7	20,53	0	0	13,58	0	6,02	-0,14
165	Dungarpur	0,62	0	0	NA	0	84,95	6,5	37,79	1,55	17,45	183	358,6136475	7838,780762	61,59	-7,91	-11,5	0,47	-3,47	4,78	0,19	10,68	0,7069	5,35	-13,4	36,71	25,36	3,69	3,04	-0,22	11,4	3,02	96,34	94,52	35	49,09	50,16	525	12,31	0	17	53,65	1	40,69	1388552	5	31,95	29,19	6,47	35,75	0	0	11,05	0	3,76	-0,39
166	Durg	1,59	3	82,74	43,89	0	56,91	70,56	30,88	4,16	12,88	419	389,2296448	9591,376953	22,96	0,43	-9,14	1,14	-2,71	2,08	0,86	5,05	-0,147	4,68	-3,5	38,24	18,98	1,8	1,55	0,82	0,96	1,79	84,12	85,46	5	68,88	50,3	517	25,55	2	16	16,6	8	45,55	3343872	12	50,97	43,92	6,77	36,35	0	2	14,9	2	13,7	0,91
167	East	80,08	100	100	80,08	0	84,83	29,08	28,82	24,69	11,37	826	27570,09766	34083,89844	26,13	-8,98	-6,29	9,08	-2,68	-3,47	1,96	6,17	-1,165	11,29	-9,01	48,92	16,79	4,54	2,35	2,34	-0,35	0,83	68,28	75,91	1	79,15	53,09	6	45,9	1	1	2,07	0	93,08	1709346	11	53,65	30,87	15,22	99,27	0	42	12,1	0	16,46	0,14
168	East Garo Hills	0,2	0	0	NA	0	23,73	38,77	45,44	2,03	18,27	330	106,1138153	7511,035645	9,86	5,03	-2,24	1,1	-2,16	1,62	-17,7	12,2	-0,1589	4,99	-10,4	25,39	25,96	7,8	12,41	-1,24	3,38	-0,55	95,82	62,58	84	60,44	50,71	422	8,25	0	2	35,32	0	26,7	317917	0	41,44	45,71	6,15	23,35	0	0	8,63	0	0,16	0,02
169	East Godavari	2,64	38,56	97,64	6,69	99000	39,2	55,35	8,52	1,8	10,13	36	481,4399414	12990,94727	13,58	4,52	-7,56	0,99	-2,39	-2,86	-2,75	6,52	-0,3269	6,19	-18,3	44,31	5,16	8,63	7,79	-0,43	0,85	5,3	77,36	85,37	2	63,8	49,86	378	16,49	2	229	17,33	13	52,05	5154296	17	55,1	46,77	6,85	38,75	2160,85376	7	23,8	1	18,34	0,35
170	East Kameng	0	0	0	NA	0	40,36	5,17	46,96	3,95	18,59	542	12,6429949	9257,994236	12,92	-0,13	11	2,99	-2,5	3,88	NA	16,79	-1,096	6,97	-19,7	24,55	37,62	6,89	NA	1,96	0,88	-5,42	82,48	NA	125	48,86	49,28	714	9,46	0	0	56,41	0	28,6	78690	0	27,36	NA	7,69	27,79	0	0	10,69	0	0	0
171	East Khasi Hills	1,12	0	0	NA	99000	57,42	3,23	37,61	9,36	16,84	293	284,8006897	12007,86719	24,27	0,25	-5,02	4,39	-0,59	1,28	7,19	7,17	-0,7356	1,01	-15,9	43,83	24,96	5,47	3,98	0,45	1,13	-0,2	58,45	33,83	82	69,99	49,73	470	4,96	0	2	29,79	7	58,21	825922	0	54,69	49,76	20,97	64	0	0	14,58	2	0,68	0,33
172	East Nimar	0,28	0	0	NA	0	49,27	26,33	34,38	1,39	15,89	370	178,5797424	17192,47461	22,18	-2,87	-8,59	0,09	-2,29	0,6	-0,76	9,74	-0,2804	6,96	-19,81	32,38	21,5	4,82	4,1	0,62	2,23	2,21	90,77	89,82	110	55,85	51,47	501	16,76	1	13	43,24	4	37,78	1310061	13	34,62	34,55	3,67	20,72	0	0	14,36	0	11,95	0,36
173	East Siang	0,16	0	0	NA	0	65,23	33,41	42,84	10,85	13,06	703	25,0035286	4381,27002	16,83	1,85	-2,95	7,7	-5	3,53	NA	13,3	-1,2794	11,47	-16,6	57,41	13,52	6,94	NA	0,85	-1,57	-1,69	60,96	NA	318	63,07	50,51	922	23,92	0	1	16,15	0	66,74	99214	0	44,12	NA	11,97	40,95	0	0	14,73	0	0	0
174	East Sikkim	1,32	0	0	NA	0	68,51	1,2	26,88	10,73	9,87	543	301,3634338	11740,71973	28,58	0,77	-9,11	7,64	-2,95	1,69	0,57	10,48	-0,8434	0,99	-27,8	61,23	15,73	9,97	12,65	1,73	6,89	0,32	53,1	49,45	45	75,58	53,4	527	3,26	0	8	11,3	6	80,89	283583	0	60,47	48,88	16,49	67,35	0	0	14,94	1	5,4	-0,43
175	Ernakulam	74,03	88,92	99,99	83,24	4717650	78,37	31,59	14,44	17,09	9,27	21	1425,266235	1922,373535	18,89	1,34	-6,67	10,19	-1,64	-3,31	-4,04	3,97	-0,1923	21,8	-16,9	64,52	5,69	7,4	10,49	1,33	3,47	5,16	87,15	89,09	15	87	49,34	58	40,72	1	2	2,3	27	93,61	3282388	10	85,04	74,93	21,18	90,25	762,6790161	44	13,77	5	8,18	-0,31
176	Erode	2,46	30,66	92,51	7,41	0	54,2	55,96	6,8	5,07	8,67	170	389,5076904	12548,35059	22,18	-5,55	-7,72	2,17	-1,78	-3,19	-0,76	8,43	-0,3306	14,1	-16,95	60,11	11,66	6,9	6,71	-0,76	4,84	3,28	70,8	84,72	31	66,29	50,18	162	43,8	1	103	5,53	9	73,39	2251744	6	60,09	47,31	16,04	54,14	208,1699982	44	27,31	0	16,41	0,36
177	Etah	0,75	0	0	NA	0	63,23	65,1	55,36	2,29	16,02	850	848,2218018	34381,91016	27,31	1,23	-6,57	0,67	-3,08	0,44	0,29	9,74	-0,1601	7,7	-10,79	60,11	15,85	0,89	-0,95	-0,48	3,35	0,42	96,62	97,15	78	59,47	53,39	183	18,87	0	25	12,67	1	69,18	1774480	9	27,78	20,68	7,83	31,47	0	0	8,5	0	15,84	0,36
178	Etawah	0,99	7,37	78,38	10,54	0	61,79	70,66	49,3	2,81	14,38	795	679,1799316	25166,60938	30,49	1,39	-7,61	1,59	-3,34	-0,2	-0,71	9,9	-0,3587	9,55	-11,5	60,43	18,15	1,53	0,09	1,93	1,36	0,88	94,81	95,59	1	67,14	53,47	274	17,33	1	23	11,3	4	64,65	1581810	6	31,72	23,26	5,77	35,02	0	1	9,68	0	24,55	1,13
179	Faizabad	2,1	19,4	88,02	9,54	0	82,14	82,92	51,93	3,69	14,57	763	1176,104736	15069,56836	26,65	-1,7	-4,38	1,72	-3,74	0,47	0,17	12,74	-0,6036	8,44	-3,6	61,76	18,29	-5,19	-7,18	1,95	10,99	-0,52	96,62	97,88	15	58,72	50,98	525	17,73	1	27	6,52	4	66,23	2470996	10	38,68	31,81	6,87	35,86	0	3	10,57	1	22,46	-0,13
180	Faridabad	15,72	59,46	99,8	26,38	0	71,06	48,41	33,11	17,98	13,92	803	2387,510498	13195,21875	27,31	-5,55	-8,4	8,17	-3,08	0,32	-1,02	8,43	-0,5552	14,1	-16,95	64,86	32,54	4,82	4,1	0,83	3,76	0,78	78,23	80,84	2	70,33	53,38	30	43,3	1	10	5,09	15	85,8	1809733	3	46,68	31,95	13,01	88,83	74,4199982	42	9,83	1	12,37	0,36
181	Faridkot	2,79	18,35	87,73	13,33	0	59,55	70,02	35,19	13,14	11,22	913	422,3721008	7958,341309	21,57	1,91	-8,68	7,63	-2,16	1,19	1,18	8,08	-0,2116	15,66	-9,9	63,05	12,09	4,79	4,5	-9,55	-2,15	0,56	92,28	92,46	107	61,75	52,9	327	43,69	0	13	5,2	0	81,02	617508	4	53,55	32,24	8,49	51,58	0	9	7,64	1	38,92	2,75
182	Farrukhabad	1,47	8	69,08	12,71	0	63,47	66,31	53,06	2,2	16,05	869	862,3989258	21255,78125	26,38	-0,53	-5,16	1,03	-2,3	-0,44	-1,54	8,24	-0,7377	9,13	-9,33	59,41	20,05	0,11	-0,78	1,17	2,83	0,37	95,68	95,54	81	57,96	53,38	254	16,1	1	28	14,25	0	64,3	1885204	10	27,95	21,91	7,82	35,71	0	1	9,38	0	16,59	0,15
183	Fatehabad	1,59	8,25	66,54	12,83	0	63,94	48,99	36	7,97	12,85	849	389,5827026	13086,7627	31,44	6,14	-8,35	4,64	-3,25	-0,78	-1,62	10,54	-0,4888	16,03	-21,6	68,57	16,85	6,28	4,69	-1,95	3,98	0,5	92,4	91,52	119	59,19	52,59	195	29,89	0	27	11,09	1	77,34	942011	5	51,25	30,34	6,3	36,67	0	1	7,24	0	30,19	2,76
184	Fatehgarh Sahib	3,03	10,83	91,15	25,49	0	72,06	73,29	34,45	15,76	10,54	984	505,6133118	5305,972168	15,48	-6,81	-10,1	9,66	-1,79	-1,93	-1,54	6,43	-0,4734	14,65	-3,58	66,04	11,45	7,16	6,98	-8,78	3,38	1,05	87,62	91,64	18	70,99	53,45	241	55,03	1	5	2,98	2	85,01	600163	4	54,76	38,88	11,23	69,44	0	2	9,11	0	32,07	1,43
185	Fatehpur	1,11	6,2	37,07	6,63	0	67,66	70,08	48,73	3,54	14,82	801	625,9469604	18281,19141	34,01	-0,31	-4,23	2,35	-3,43	0,11	0,1	11,41	-0,2372	7,24	-9,17	55,33	14,05	-7,26	-6,87	1,81	5,89	0	97,38	98,26	5	57,44	52,6	464	12,63	0	55	13,15	0	57,39	2632733	7	40,9	34,06	6,07	29,12	0	2	10,25	0	24,75	-0,3
186	Firozabad	1,73	16,9	68,79	7,03	0	50,73	67,49	53,81	2,65	15,3	782	1050,970093	32312,80469	21,15	-4,2	-6,18	1,16	-4,2	-4,61	-1,94	9,02	-0,6823	10,95	-7,42	63,76	21,69	1,03	-0,65	2,3	1,57	0,19	92,1	92,3	8	60,92	53,32	202	20,72	1	42	10,87	0	68,71	2498156	8	27,46	21,83	10	56,03	0	6	7,8	0	18,97	0,12
187	Firozpur	1,43	3,46	28,22	11,65	0	52,74	63,58	36,76	9,92	12,23	900	340,7344971	9351,788086	21,3	-1,02	-9,52	5,59	-2,53	0,65	2,92	8,77	-0,231	15,41	-10,1	65,3	16,21	4,29	2,98	-3,7	0,89	-0,03	92,08	92,49	132	60,5	52,81	348	39,72	1	29	6,84	5	77,68	2029074	8	45,47	27,03	6,63	44,54	0	1	7,14	0	42,17	19,36
188	Gadag	0,75	0	0	NA	0	72,82	33,95	30,84	2,41	12,44	164	227,6181335	15601,70996	31,91	9,79	-9,04	1,15	-1,74	-1,65	-2,76	9,04	-0,3269	6,97	-17,8	51,87	9,54	-1,64	-1,9	1,26	3,55	0,92	81,51	87,32	57	65,77	50,46	343	14,36	0	30	22,22	0	59,56	1064570	3	21,34	14,5	7,3	33,88	0	0	12,58	0	16,36	2,22
189	Gadchiroli	0,12	0	0	NA	0	75,74	53,14	21,2	1,26	11,21	371	74,0828552	11135,36719	49,13	1,06	-7,25	0,69	-4,74	1,83	2,39	15,51	-0,1609	6,59	-8,78	27,84	10,58	6,97	8,43	0,74	1,23	2,24	89,31	85,2	142	66,02	50,45	323	12,14	0	12	30,2	0	30,03	1072942	0	53,5	58,8	4,72	19,01	0	0	17,51	0	11,25	0,04
190	Gajapati	0,1	0	0	NA	0	54,45	22,28	29,8	0,51	15,05	53	142,1793823	17243,52148	34,48	5,28	-2,31	-0,09	-2,81	1,92	-0,92	11,54	-0,2729	3,87	-15,5	24,91	11,36	7,86	8,51	-0,23	3,65	0,49	92,59	90,44	50	45,44	48,96	575	6,61	0	2	57,34	0	27,03	577817	4	49,99	47,18	6,82	25,74	0	0	16,38	0	6,78	-0,72
191	Ganderbal	1,8	4,79	91,63	34,41	0	60,31	13,88	58,31	5,35	17,01	1298	208,295517	4844,839844	27,31	-2,92	-6,57	2,95	-2,29	1,9	-1,02	11,3	-0,3306	2,46	-21,29	61,75	36,5	0,89	-0,95	-0,76	4,84	0,42	98	74,92	36	48,17	53,36	655	6,26	1	4	13,24	0	64,25	297446	0	39,29	23,45	7,4	65,66	0	7	4	0	0,04	-0,14
192	Gandhinagar	3,75	51,72	97,06	7,04	0	63,62	42,39	30	9,19	12,03	98	672,9946899	12007,28613	20,74	3,9	-2,46	5,66	-1,89	0,19	2,42	8,11	-0,295	14,94	-21	56,48	12,5	6,84	10,15	-11,1	-3,45	0,26	81,78	75,16	4	74,04	52,01	462	37,25	2	52	16,08	6	71,32	1391753	12	46,2	43,98	10,59	56,35	234,572998	9	13,06	3	7,8	-1,57
193	Ganganagar	0,57	0	0	NA	0	77,25	40,09	35,11	5,75	12,97	742	184,4999542	9324,983398	45,83	-4,11	-12	2,27	-3,69	2,31	2,52	6,65	-0,4065	8,23	-12,9	62,44	10,04	0,16	0,28	2,49	6,04	2,21	88,34	88,87	277	60,6	52,98	369	22,82	1	19	14,69	2	76,14	1969168	14	52,32	36,03	10,57	45,35	0	0	9,87	0	36,58	2,87
194	Ganjam	0,66	0	0	NA	0	47,61	48,87	29,91	1,2	11,91	46	419,0252991	17393,19141	23,4	9,11	-7,91	0,26	-3,14	-1,04	-1,32	11	0,3638	6,71	-21,1	44,33	11,65	8,53	6,76	-0,73	6,65	0,43	88,85	92,89	39	62,62	50,42	502	13,33	1	53	31,12	0	48,74	3529031	8	55,27	43,03	7,28	43,37	1278,189941	0	13,4	1	19,5	0,94
195	Garhwa	0,25	0	0	NA	0	39,7	42,46	41,3	1,05	18,12	450	321,6105042	24710,0293	23,77	2,35	-10	0,43	-3,79	0,73	0,31	18,78	-0,0227	4,07	-15,8	38,59	27,75	5,63	5,18	0,96	6,49	1,41	98,29	98,89	98	49,4	51,68	508	6,51	0	15	36,14	0	39,55	1322784	3	44,04	38,33	3,57	22,61	0	0	12,59	0	24,19	0,31
196	Garhwal	0,44	0,04	2,54	31,38	0	86,65	8,46	25,76	3,01	12,21	1022	129,2105713	5493,782715	18,39	0,42	-9,49	1,77	-2,32	-0,02	-0,65	5,78	0,0619	5,18	-10,9	63,66	-1,41	3,4	-0,53	2,66	8,22	3,45	84,07	86,73	55	72,01	47,55	205	9,57	0	5	17,9	0	70,37	687271	1	68,5	47,03	7,14	40,06	0	42	22,8	0	17,8	2,5
197	Gautam Buddha Nagar	12,72	48	98,69	26,16	0	74,94	40,59	34,83	24,86	14,96	819	1129,619629	6208,024414	28,84	-8,53	-13,1	13,34	-3,2	-11,7	-11,9	11,92	-0,2956	16,22	-15,9	68,63	37,11	9,59	7,81	4,46	13,65	2,77	69,51	76,83	22	68,14	54,01	38	39,5	1	23	4,75	20	88,21	1648115	12	48,94	32,77	14,49	78,65	492,7399902	42	13,39	7	13,11	-3,2
198	Gaya	1,28	6,16	71,63	14,91	98273	47,36	42,61	55,76	1,71	17,83	414	881,8108521	17751,63672	26,68	7,35	-6,88	0,82	-1,96	-0,14	-0,12	11,86	0,0172	4,95	-24,2	53,25	26,43	-2,27	-1,56	3,03	8,75	-0,23	96,4	98,15	19	52,32	51,61	424	8,57	1	34	29,16	5	55,61	4391418	15	47,3	38,93	7,16	30,64	0	62	7,74	0	30,39	0,74
199	Ghaziabad	8,87	63,62	99,88	13,93	0	68,8	49,32	41,93	14,39	14,55	859	2330,335938	21091,36523	17,84	-12,3	-9,33	8,85	-2,66	-4,84	-4,79	8,98	-0,5992	13,13	-8,37	69,1	42,27	6,27	3,61	2,76	5,97	0,55	81,02	83,94	3	66,71	53,16	48	35,25	2	56	5,79	20	84,41	4681645	14	41,44	30,66	12,14	81,42	0	42	8,38	3	16,52	-1,52
200	Ghazipur	1,47	29,85	93,49	4,61	0	77,1	73,06	63,66	4,03	15,43	582	1074,26355	19698,48633	28,57	2,49	-6,22	2,61	-4,7	-0,06	0	13,13	0,6373	8,27	-12,7	69,45	19,18	-2,99	-4,43	1,85	4,88	0,41	97,93	98,49	44	60,7	51,24	597	14,9	0	66	9,84	0	71,62	3620268	21	39,36	28,46	7,4	33,18	0	62	5,99	0	20,07	-1,31
201	Giridih	0,68	0	0	NA	0	56,1	57,87	53,01	1,61	18,82	298	485,8879395	13429,82129	31,05	10,18	-4,56	0,84	-2,44	0,79	0,23	-13,7	1,0015	9,95	-26,9	60,6	28,34	6,06	5,11	0,63	3,46	-1,21	97,44	97,86	33	51,26	51,45	302	14,71	0	20	18,22	0	61,99	2445474	7	41,71	34,61	4,02	29,31	0	0	7,05	0	13,31	0,27
202	Goalpara	4,77	13,81	81,04	27,97	0	33,26	57,69	35,56	2,08	17,03	366	483,3092041	2210,063232	17,13	14,8	-10,4	1,34	-2,33	1,66	-0,72	9,11	-0,2107	5,26	-23	45,91	22,64	4,66	11,98	-3,48	-0,61	1,04	96,28	92,39	49	55,9	50,91	451	7,74	0	8	24,08	0	47,4	1008183	3	33,55	39,52	7,69	44,18	0	2	9,58	0	4,47	-0,33
203	Godda	0,56	0,34	15,79	25,95	0	39,22	53,12	38,64	0,7	18,41	298	581,7320557	7721,031738	22,72	12,22	-6,28	0,14	-1,1	0,31	0,77	11,3	-0,3053	4,29	-19,6	34,68	25,35	4,54	2,59	-0,7	-1,15	1,66	97,99	98,18	104	46,02	51,61	279	7,91	0	7	31,8	0	35,67	1313551	0	36,38	27,44	3,63	18,08	0	62	11,96	0	8,8	0,24
204	Golaghat	4,9	10	83,38	40,9	0	50,24	69,84	29,07	4,13	12,63	474	320,3867798	803,1845093	29,96	8,95	-11,1	1,47	-2,47	2,6	1,07	8,75	-0,9012	6,11	-11,5	42,04	12,75	8,55	9,61	-0,41	2,03	0,16	85,86	87,8	102	67,65	50,91	702	12,14	0	10	16,92	1	46,21	1066888	6	69,86	68,98	13,26	46,41	0	2	9,84	0	5,84	0,43
205	Gonda	1,15	5,87	23,61	4,63	0	79,77	78,05	56,9	2,44	16,67	804	850,4009399	17502,47266	24,39	0,05	-3,35	0,3	-2,73	0,51	0,59	14,6	-0,426	7,14	-6,23	61,11	24,17	-1,66	-2,13	4,3	9,07	-0,61	97,33	98,03	31	48,92	52,04	500	14,02	0	39	9,43	0	64,69	3433919	14	33	27,87	6,63	25,52	0	3	9,8	0	15,49	-0,18
206	Gondiya	0,53	0	0	NA	0	70,1	69,42	25,23	1,75	10,61	493	241,9072571	10122,625	44,26	9,98	-8,08	0,8	-3,64	1,33	1,7	8,61	0,1493	9,28	-15,7	39,13	10,14	8,76	10,67	-2,75	-2,4	1,12	91,96	89,14	9	75,93	50,02	453	16,96	0	12	17,31	0	42,73	1322507	17	48,33	54,09	8,32	29,68	0	0	13,08	0	13,31	-0,66
207	Gopalganj	2,13	38,96	93,6	5,11	0	65,66	74,15	58,2	2,25	17,55	593	1254,658203	17472,73242	30,16	7,96	-5,57	1,3	-2,6	0,04	-0,4	16,07	-0,4924	8,46	-19,5	73,66	19,02	-0,19	-0,75	2,2	5,92	-0,6	97,86	97,72	6	53,98	49,48	592	12,31	0	44	9,38	0	75	2562012	9	29,44	23,48	4,29	24,8	0	62	7,39	0	12,49	0,08
208	Gorakhpur	3,58	29,13	90,81	11,16	99000	79,38	76,44	58,05	4,35	14,15	678	1301,933472	11989,61719	29,35	1,03	-7,28	1,69	-4,27	0,88	0,15	13,09	0,2704	10,68	-10,2	71,5	17,81	2,45	0,94	3,72	12,99	-0,02	95,89	97,5	9	60,81	51,29	641	22,69	1	59	7,37	8	78,24	4440895	11	35,25	24,81	7,98	47,43	0	62	7,01	2	21,08	-0,97
209	Gulbarga	0,63	0	0	NA	0	50,59	25,46	43,45	2,77	14,24	363	234,3462677	17515,67578	22,18	1,23	-8,4	1,76	-2,29	-0,25	-0,76	9,74	-0,1601	7,7	-19,81	60,11	18,01	4,82	4,1	-0,48	3,35	0,78	81,29	88,62	139	55,62	50,72	171	15,86	1	48	21,74	6	66,17	2566326	12	36,13	25,96	9,5	41,54	0	0	9,74	2	25,28	0,96
210	Gumla	0,32	0	0	NA	0	52,83	69,21	46,5	1,15	16,94	313	186,3684845	7715,173828	22,18	3,86	-4,75	0,7	-2,29	1,14	-0,76	9,74	-0,2804	3,52	-10,79	28,18	23,16	0,89	-0,95	0,62	2,23	0,78	94,92	91,59	161	54,6	50,17	398	8,55	0	9	20,9	0	29,22	1025213	2	47,85	44,73	3,96	14,01	0	0	10,29	0	3,17	-0,14
211	Guna	0,27	0	0	NA	0	34,03	31,72	36,95	2,47	16,69	501	196,4739685	21565,06641	15,6	-4,08	-8,59	0,97	-2,29	0,62	0,29	11,3	-0,2804	8,75	-19,81	44,97	26,97	4,82	4,1	0,62	2,23	2,21	92,81	94,12	70	52,68	52,3	448	18,05	0	8	32,31	3	50,07	1241519	7	35,34	30,74	4,12	24,34	0	0	13,74	0	15,55	0,36
212	Guntur	2,49	36,68	90,89	6,18	0	48,17	35,3	11,59	1,35	10,14	67	422,3827209	12823,97852	20,33	2,47	-6,92	0,52	-1,91	-4,63	-4,12	5,56	-0,4658	7,58	-25,4	48,46	9,47	9,22	9,82	0,2	2,55	4,43	76,18	84,52	19	60,57	49,93	212	14,76	2	218	19,68	10	56,93	4887813	34	48,52	37,34	7,6	35,75	61,7999992	7	22,95	2	19,59	1,27
213	Gurdaspur	2,52	5,88	42,64	18,32	0	66,85	65,14	35,97	7,53	11,03	1080	638,7779541	8317,791016	16,96	-5,83	-11,4	4,61	-2,28	1,75	1,89	7,18	-0,1417	18,5	-7,32	65,16	9,27	7,75	6,8	-3,83	1,71	-0,36	95,02	95,37	22	71,13	52,76	420	45,15	1	28	4,55	7	77,94	2298323	10	52,57	37,07	9,9	67,17	0	3	6,71	0	25,26	0,51
214	Gurgaon	11,05	25,22	95,85	41,99	0	78,24	32,2	25,87	28,98	13,38	783	1173,978272	7868,132813	28,11	-5,55	-8,29	8	-3,08	0,32	-1,02	7,1	-0,5552	14,1	-19,81	64,86	73,97	5,74	5,78	0,83	3,76	2,21	66,03	77,14	1	73,37	53,93	40	41	1	10	7,02	30	85,74	1514432	10	60,58	38,88	15,22	83,64	1584,020996	42	15,16	3	13,07	0,36
215	Gwalior	1,57	1,94	83,25	67,26	99000	55,14	52,71	39,04	5,77	12,86	675	387,7931213	16713,91797	13,86	-5,6	-10,8	2,43	-2,76	3,2	-0,03	8,26	-0,4643	9,61	-8,44	50,63	24,5	2,11	1,24	0,76	3,59	0,8	85,68	88,28	6	66,79	53,66	303	34,15	1	14	13,5	12	68,51	2032036	10	45,55	34,95	8,85	63,38	120,2399979	1	9,83	2	19,34	0,43
216	Hailakandi	5,68	9,36	65,18	39,54	0	70,27	19,37	30,97	1,8	16,88	225	478,7915649	1663,048218	57,92	-0,02	-16,4	0,89	-1,72	4,47	5,73	13,24	-0,4219	1,69	-17,1	36,03	21,45	12,56	11,58	-2,3	3,92	7,6	93,36	92,65	45	61,79	51,25	482	3,89	0	6	47,01	0	38,55	659296	4	27,04	26,91	12,16	54,76	0	2	17,81	0	10,72	-0,2
